id	other_income
441876105	30000
140093104	0
130510104	35000
130724103	0
110051102	0
130724101	0
130886101	144000
110043105	0
140628103	0
140642104	5000
430498105	20000
140628104	0
411430431	0
140343103	0
140628105	0
140642103	0
411430104	12000
370760103	36000
130351102	30000
140652104	0
411637101	0
411624102	0
411614102	0
110125103	0
110013103	0
411747103	0
411747104	0
340294431	0
620259103	15000
610045103	0
411751105	0
410501102	0
410488103	0
410549102	0
410500101	0
410548101	33000
410568104	0
410500431	4800
410538105	50000
410500103	0
410507102	0
410538101	0
410508103	0
410501103	15000
610329103	14000
410544104	0
410496103	20000
530193103	0
610058104	30000
220235102	24000
410505103	0
410761103	0
410773102	0
410757102	10000
410773103	0
130431103	0
621457103	0
210916101	0
211342102	0
220007105	0
510616104	0
130312103	0
130299106	0
130299105	0
130313103	0
130649103	0
130664104	0
130654103	0
130273102	0
130645101	0
130644104	0
130292105	30000
130281103	0
130649105	0
130654104	0
130657103	0
130649104	0
130807103	0
130811103	0
130937101	0
130721106	12000
130703104	0
130721105	0
130717102	0
130698103	0
130935105	12000
130716104	33000
130716103	10000
130721103	0
130909104	6000
130909103	0
130879103	0
130925103	30000
130923104	2000
130755103	0
130789101	0
130775101	0
130774103	0
130775102	0
130782102	20000
130766103	0
130673102	0
130672103	0
130689104	20000
130672102	0
130673103	0
130671103	0
130689103	60000
130682103	15000
130682104	0
130674103	7500
130507103	24000
130856101	3000
130849103	0
130345103	0
130339103	2400
130853103	20000
130872104	12000
130515103	0
130336104	10000
130851103	60000
120129103	0
130502102	0
130507104	24000
130855101	0
130500102	0
130336103	10000
140668105	0
130850431	0
130853104	10000
130872102	0
130859101	13000
120104104	0
130328102	2000
130859104	48000
130350102	50000
140520103	17000
140193105	0
120090104	0
130853102	0
130635108	0
130148102	0
130633104	0
130609103	0
130610431	0
130392104	30000
130392103	0
130610103	0
130612104	0
130617105	30000
130635107	0
130633103	0
130155103	0
130635103	0
130155104	0
130382101	0
130635104	0
130405103	50000
130379102	36000
130630103	0
130379103	0
130630104	0
130405105	50000
130379104	14400
130169431	20000
130161105	40000
130384102	10000
130161104	0
130405104	0
130161103	30000
130421101	0
130439103	0
130439104	0
130553104	20000
130558102	30000
130555105	0
130462103	0
130458104	0
130462104	0
130463103	20000
130465102	0
130606103	0
130463104	30000
130588103	0
130465103	0
130457104	0
130583104	0
130471103	0
130474104	0
130474105	0
130005103	0
130008103	0
130012104	0
130012103	0
130007104	0
130010102	0
130010101	0
130006103	0
130083105	0
130077104	0
130208105	0
130201101	0
130096104	15000
130092101	14000
130085103	30000
130096103	0
130052104	8000
130046105	0
130093103	0
130095104	0
130092104	0
130094103	0
130541102	0
211321102	0
130541103	20000
130528103	0
130545102	0
130534101	0
130544104	0
130535102	20000
130098101	0
130041103	0
130035104	10000
130105105	0
130049103	0
130104103	0
130110103	0
130036103	60000
130100103	0
130100107	0
130036104	0
130107104	0
130041431	0
130100106	0
140099431	0
140093103	0
140520102	0
140532102	0
140521104	48000
140090104	9000
140103104	0
140089104	2000
140092104	0
140515104	20000
140540431	0
140524102	0
140525104	0
140521103	18000
140513105	0
140099101	0
140518103	0
140095102	0
140097105	0
140090103	0
140098103	0
140094102	0
140090102	3000
140523102	0
140108104	0
140089103	5000
140515102	6500
140517103	0
140513104	0
140515103	6000
140103103	0
140524103	0
140112102	10000
140525101	0
140533103	0
140111101	20000
140513103	0
140096103	0
140097106	0
140106103	0
140092103	0
140098102	20000
140526103	0
140517102	0
140091103	0
140097104	0
140604103	50000
140858101	0
140861103	0
140858102	0
140861102	45000
140077105	0
140077104	30000
140062103	0
140077106	0
140070104	6000
140009102	26000
140375101	0
140350105	0
140374102	0
140369104	0
140360431	14000
140374103	0
140357103	0
140365103	0
140021103	0
140691102	0
140668103	0
140173104	0
140678432	30000
140675103	0
140185103	40000
140658102	1000
140672104	26000
140677101	0
140663431	20000
140677104	20000
140186103	80000
140656104	20000
140662103	20000
140177101	0
140656431	16000
140678431	30000
140658103	3000
140663432	7000
140662102	10000
140658104	0
140676104	0
140182105	100000
140656103	12000
140672102	0
140659105	0
140673102	0
140186104	10000
140678103	0
140145103	0
140154432	9000
140154431	30000
140150104	25000
140325103	70000
140632103	0
140340103	0
140850106	0
140316101	10000
140850105	0
140309103	8500
140236104	0
140736103	0
140740103	0
140740104	48000
140735103	0
140236101	0
140740108	0
140735102	0
140774104	0
140882401	1500
140548103	10000
140548104	0
140564102	0
140543101	0
140886104	0
140886103	0
110066103	5000
211214104	0
211213104	0
211212103	0
211223104	0
211214101	0
211209103	0
211215103	30000
210488103	0
210417103	0
210497103	0
210445103	18000
210432531	0
211159102	25000
220220103	0
210164103	0
210171104	10000
210152104	21000
210157101	0
210162102	0
210162103	70000
210162105	0
210164104	0
210156104	0
210141104	0
210092103	30000
210091104	50000
210078102	40000
210083103	0
210130105	0
210085101	0
210083104	0
210073102	0
210074102	47000
210141103	0
210085103	0
210079101	0
408621431	40000
210066103	0
210126103	20000
210089105	0
210067103	10000
210068103	0
210144102	40000
210066102	0
210092102	0
210146104	30000
210089101	0
210088103	24000
210075103	0
210536102	42000
210549103	0
210643103	12000
210646105	0
210643104	0
211384105	0
210235103	0
210235431	0
211387102	0
211392101	0
211373102	0
211384103	0
211389102	0
210336102	0
210980102	0
210975431	0
210982431	0
211241102	0
211265101	0
211942102	0
211901103	30000
211572102	0
210769102	0
251990433	41000
211912103	60000
211943103	0
210761104	36000
210764104	0
211947103	50000
211948102	33000
211959101	10000
211908103	30000
210773101	0
210751103	15000
211888103	0
211950105	0
211958103	0
210775105	0
210753105	0
211910106	0
210725103	0
210763103	17500
211886102	30000
210772103	2700
211804102	0
211913104	0
210187102	0
211415103	0
211480103	0
211448104	35000
211473105	0
210191101	0
211421104	0
211519105	0
211459101	0
211914103	0
211919102	0
211514103	0
210182102	0
211934103	0
211466101	0
211423103	0
211412103	0
211399104	0
211406103	0
211455104	0
211455102	0
211797103	0
211515106	0
211474103	0
211816431	0
211807103	0
211938103	0
211417105	0
211772103	0
211820103	0
211515105	0
211818102	0
210194103	0
211425101	0
211406104	0
211443103	0
211819103	0
211816101	0
211769104	0
211416106	0
211448103	0
211792105	0
211515104	0
211919101	0
211476103	0
211422102	0
211459104	0
211511101	0
211513101	0
211774102	0
211403105	0
211790107	0
210183103	0
211816102	0
211769105	0
211429103	0
211416104	0
211769103	35000
211421101	0
211804103	0
211400104	0
211522103	0
211783104	0
211782102	0
211535106	0
211402105	0
211427103	0
211440103	0
210195101	0
211798431	0
211798103	80000
211796105	0
211937102	0
211807101	0
211451102	0
211777101	0
211452104	0
211791103	0
211479104	0
211818103	0
211523103	0
211781104	0
486846431	0
211426103	0
211480104	0
211478102	0
415297433	10000
211765103	0
211778103	0
211781103	0
211923105	0
211767103	40000
211451103	0
211513107	0
211410103	0
211425102	0
211810104	0
211924103	0
415297432	15000
211416103	0
211789104	0
211403104	0
211808103	0
211506101	0
211201106	14000
211505103	30000
211199104	30000
211202101	0
211197103	0
211187103	0
211490102	0
211208431	0
211208103	23000
211201101	40000
211202103	40000
211499104	0
211505106	0
211490105	0
210954101	50000
210949103	3000
210929103	20000
211763101	50000
211757101	14400
210954103	5000
211758104	15000
210956103	0
210956104	4800
210947102	30000
210952103	0
210947103	15000
210951101	30000
211758103	15000
210935101	25000
210952102	6000
210245103	0
210272102	0
210270104	2000
210042102	0
210046103	1000
211106102	0
211140103	0
211133101	0
211028102	0
210800101	50000
210800103	50000
220307103	0
220308104	0
220306103	0
220308102	0
220067102	0
220154103	0
220043103	0
220042102	15000
220043104	0
220155103	11200
220055103	9600
220055101	5000
220094101	0
220057103	0
220037101	0
220033104	8000
220033105	6000
220011102	0
220279105	0
220127102	0
220334102	0
220127103	0
220122101	32400
220274104	25000
220300103	20000
220300102	40000
220291102	0
220297102	20000
230152101	30000
230439101	0
230155102	0
230131101	0
230429103	0
230131103	0
230129101	0
230609105	0
230622105	0
230609104	0
230606103	0
230475103	0
230619103	0
230632103	0
230623103	0
230616103	0
230623102	0
230552103	10000
230602103	3000
230528103	0
230026106	0
230010105	0
230228103	0
230025103	0
230004104	0
230011103	6000
230027103	0
230016102	0
230011102	21000
230021103	40000
230209102	0
230013431	0
230025104	0
230228102	0
230212102	0
230177103	5000
230167102	0
230327102	0
230415102	0
230326103	35000
230399103	0
230395431	0
230351103	0
230391103	0
230409102	3000
230418103	0
230342103	0
230354104	0
230328103	0
230395103	0
230327103	0
230554103	30000
230012431	30000
230592103	0
230584103	0
230066103	2000
230068103	5000
230085102	0
230064103	0
230085103	0
230069106	0
230066101	0
230363102	0
230035103	0
230364431	0
230038102	20000
230373104	0
230053432	36000
230052431	2000
230050101	0
230052433	0
230053431	36000
230059102	0
230052432	0
312306103	0
312064103	50000
312111102	0
312092105	0
312093101	0
312086431	0
312058103	12000
312105101	25000
312057104	32400
312057105	72000
312064102	24000
310837102	0
311987106	0
311552103	0
311557102	0
311547102	0
311971103	0
311416101	0
311347102	0
311397102	0
311387102	0
311383101	0
311378101	0
311333107	0
311299103	42000
311300101	0
311299104	21000
311137101	35000
311137102	0
310681102	0
310678102	0
310099103	0
310099101	0
310869102	2400
312366531	0
312370102	0
312375531	0
312419102	0
312427101	0
311921431	0
311918101	0
310550103	0
310558101	0
311701101	0
311704102	0
311775102	0
311816102	0
311799101	45000
311799431	0
311785103	30000
311752101	0
311785102	30000
311636101	40000
311199102	0
311217101	0
310334102	0
310284103	0
310267102	0
320113102	0
320113103	30000
320131103	50000
320102103	0
320102105	1500
320114102	40000
320106102	35000
320122107	0
320114106	40000
320131101	20000
320104105	50000
320109101	0
320104103	0
320132102	0
320107101	0
320123104	0
320077102	100000
320123102	0
320083101	0
320125105	50000
320132103	20000
320106104	0
320109431	30000
320102104	18000
320130103	0
320122103	10000
320113431	3000
320130104	0
320112102	100000
320103102	0
320088102	40000
320103103	15000
620260113	0
320015102	24000
320039102	0
320050105	140000
320039101	0
320039103	0
320039104	0
320016102	0
320142104	0
320133104	0
403235431	40000
320137102	0
320133103	0
320307103	0
320232103	50000
320226103	0
320234103	36000
320203106	0
320215102	0
320251104	0
320221101	0
320205103	50000
320236104	0
320236103	0
330357101	0
330296104	0
330314101	0
330297102	0
330285102	0
330297101	0
330140102	0
330258104	75000
330208101	0
330191102	36500
330213104	36000
330213103	0
330220431	30000
330215103	0
330211106	0
330267101	2000
330197102	0
330195101	4000
330094103	0
330094105	40000
330052101	0
340176103	0
340176101	0
340214101	30000
340214103	40000
340225103	0
340140103	0
340087434	0
340085104	0
340085103	0
340087432	0
340087433	0
340077102	0
340087102	0
340087101	0
340082102	35000
340041107	0
340035102	0
340261102	0
340294102	0
340364104	40000
340289104	0
340354104	20000
340304104	0
340361102	0
340290104	40000
340303106	0
340322103	0
340304107	0
340298105	0
340293103	0
340292103	0
340303105	0
340292105	0
340299101	0
340289103	0
340290102	0
340262103	0
340367103	0
340354431	0
340357101	0
340304105	0
340292102	0
340298101	0
340357103	0
340263102	0
340325104	0
340322102	0
340326102	0
340330105	0
340330104	0
340364103	40000
340262104	0
340352104	0
340327104	0
360157104	0
340320103	0
340368104	0
340346103	0
340339105	0
340320104	0
340313103	0
340342103	0
340312103	0
340351103	100000
340316105	0
340348104	0
340346104	0
340337103	40000
360218105	0
340316104	0
340375103	0
340342104	0
340382104	36000
340349103	0
340319104	40000
360219431	0
360161102	20000
360219103	0
340368101	0
360218103	0
340338104	20000
340306101	15000
340343103	60000
340338102	30000
340379102	0
340318102	0
340375102	20000
340337104	0
340312105	0
340307103	0
360223103	0
360157103	20000
360148103	0
340382103	20000
340318104	0
340317105	0
340380103	0
360218104	20000
340312104	60000
340368431	100000
340270104	48000
340339104	0
360218107	0
340090102	0
340090103	0
340093102	100000
340068103	10000
340088101	0
350085106	100000
350082106	7500
350061103	40000
350075102	30000
350085103	100000
350081102	0
350083105	30000
350051104	10000
350068103	0
350107106	0
350069102	0
350083531	0
350081104	0
350087103	0
350051102	15000
350093105	0
350094103	0
350083106	0
350051103	0
350094105	50000
350075103	0
350083103	30000
350069103	0
350075101	0
350099104	0
350062103	0
350087104	0
350091102	20000
350101102	0
350110103	40000
350078107	20000
350085104	100000
350107103	0
350109103	0
350081103	0
350081101	0
350083104	0
350078106	0
350094101	10000
350095103	84000
350102105	30000
350085107	100000
350204103	18000
350170101	0
350142104	0
350208103	72000
350208101	0
350208104	120000
350118104	1200
350131103	15000
350130103	0
350216107	0
350126104	0
350130105	0
350134101	0
350118103	0
350121102	23000
350132101	0
350132103	12000
350128103	0
350114104	39000
350135104	12000
350117103	7000
350130104	0
350114102	0
350121103	7000
350213103	0
350126101	0
350131104	24000
350216103	30000
350217104	0
